<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
GIL,07/01/2011,24.5,24.5,24.5,24.5,200
GIL,06/30/2011,23.5,24.5,23.4,24.5,6820
GIL,06/29/2011,23.6,23.6,23.6,23.6,8000
GIL,06/28/2011,24.8,24.8,24.0,24.5,3550
GIL,06/27/2011,23.6,24.5,23.6,24.5,6480
GIL,06/24/2011,23.8,23.8,23.4,23.8,47720
GIL,06/23/2011,23.8,23.8,23.8,23.8,45000
GIL,06/22/2011,23.8,23.9,23.8,23.8,50100
GIL,06/21/2011,23.4,23.8,23.4,23.8,7840
GIL,06/20/2011,23.7,23.8,23.4,23.8,9450
GIL,06/17/2011,23.6,23.8,23.6,23.8,7450
GIL,06/16/2011,23.4,23.8,23.4,23.6,21570
GIL,06/15/2011,23.5,23.8,23.5,23.8,8020
GIL,06/14/2011,23.6,23.8,23.5,23.8,52490
GIL,06/13/2011,23.6,23.9,23.6,23.8,6070
GIL,06/10/2011,23.8,23.8,23.8,23.8,16510
GIL,06/09/2011,23.6,24.0,23.6,24.0,4000
GIL,06/08/2011,23.7,23.8,23.7,23.8,5900
GIL,06/07/2011,23.5,23.8,23.5,23.8,2620
GIL,06/06/2011,23.1,23.8,23.1,23.8,10220
GIL,06/03/2011,23.5,23.8,23.5,23.8,11030
GIL,06/02/2011,23.6,23.8,23.5,23.8,29430
GIL,06/01/2011,23.6,23.6,23.6,23.6,29520
GIL,05/31/2011,23.0,23.6,23.0,23.6,12290
GIL,05/30/2011,23.1,23.6,23.0,23.6,23950
GIL,05/27/2011,23.5,23.6,23.5,23.6,35140
GIL,05/26/2011,23.0,23.5,23.0,23.5,37660
GIL,05/25/2011,23.0,23.4,22.5,23.4,51320
GIL,05/24/2011,23.0,23.5,22.9,23.5,56960
GIL,05/23/2011,23.5,23.5,23.0,23.5,23770
GIL,05/20/2011,23.5,23.5,22.9,23.5,17860
GIL,05/19/2011,23.5,23.5,23.5,23.5,7000
GIL,05/18/2011,23.0,23.4,23.0,23.4,200
GIL,05/17/2011,23.7,23.8,23.5,23.5,2110
GIL,05/16/2011,23.5,23.6,23.5,23.6,35380
GIL,05/13/2011,23.0,23.5,23.0,23.5,48350
GIL,05/12/2011,23.0,23.2,22.9,23.2,22290
GIL,05/11/2011,22.5,22.9,22.5,22.9,37310
GIL,05/10/2011,22.5,22.7,22.0,22.7,28730
GIL,05/09/2011,22.0,22.5,22.0,22.5,25270
GIL,05/06/2011,22.1,22.4,22.0,22.4,33120
GIL,05/05/2011,22.0,22.3,22.0,22.3,19690
GIL,05/04/2011,22.0,22.2,21.5,22.2,9570
GIL,04/29/2011,21.5,22.0,21.4,22.0,4850
GIL,04/28/2011,21.5,22.0,21.5,22.0,3190
GIL,04/27/2011,22.4,22.4,22.4,22.4,110
GIL,04/26/2011,20.9,22.7,20.9,22.2,11170
GIL,04/25/2011,21.9,21.9,21.9,21.9,2050
GIL,04/22/2011,21.5,21.9,21.0,21.9,33920
GIL,04/21/2011,21.6,21.6,21.5,21.5,10300
GIL,04/20/2011,21.6,22.1,21.6,22.1,5800
GIL,04/19/2011,22.2,22.2,22.2,22.2,25000
GIL,04/18/2011,21.7,21.8,21.7,21.7,21320
GIL,04/15/2011,21.7,21.8,21.7,21.7,192990
GIL,04/14/2011,21.5,21.8,21.5,21.8,27330
GIL,04/13/2011,22.2,22.2,21.7,21.7,46880
GIL,04/08/2011,21.3,21.7,21.3,21.7,23990
GIL,04/07/2011,22.2,22.2,21.7,21.7,11450
GIL,04/06/2011,21.6,22.2,21.6,22.2,31540
GIL,04/05/2011,21.4,21.6,21.4,21.6,62040
GIL,04/04/2011,21.4,21.5,21.3,21.4,33110
GIL,04/01/2011,21.2,21.4,21.2,21.4,2750
GIL,03/31/2011,20.9,21.2,20.9,21.2,16490
GIL,03/30/2011,21.5,21.5,20.8,21.5,6060
GIL,03/29/2011,21.6,21.6,21.0,21.6,14270
GIL,03/28/2011,21.7,21.7,21.5,21.5,31100
GIL,03/25/2011,22.0,22.0,21.4,21.5,12220
GIL,03/24/2011,21.5,21.5,21.1,21.5,23620
GIL,03/23/2011,21.4,21.6,21.3,21.3,11080
GIL,03/22/2011,21.2,21.3,21.1,21.3,35820
GIL,03/21/2011,21.3,21.3,21.2,21.2,46650
GIL,03/18/2011,20.7,21.2,20.5,21.2,73670
GIL,03/17/2011,19.8,20.3,19.8,20.3,15470
GIL,03/15/2011,20.4,20.4,20.4,20.4,1010
GIL,03/14/2011,19.6,20.4,19.6,20.4,12150
GIL,03/11/2011,20.5,20.5,20.2,20.4,69510
GIL,03/10/2011,19.5,20.3,19.5,19.6,5090
GIL,03/09/2011,19.7,19.8,19.4,19.6,39960
GIL,03/08/2011,20.4,20.5,20.2,20.3,11930
GIL,03/07/2011,20.6,20.7,20.3,20.4,14890
GIL,03/04/2011,19.8,20.3,19.8,20.0,30400
GIL,03/03/2011,19.8,19.8,19.5,19.5,2680
GIL,03/02/2011,19.9,19.9,19.7,19.7,38560
GIL,03/01/2011,20.8,20.7,20.7,20.7,1500
GIL,02/28/2011,20.2,20.9,20.2,20.8,160760
GIL,02/25/2011,19.5,20.1,19.5,20.0,79450
GIL,02/24/2011,19.6,19.6,19.5,19.5,23000
GIL,02/23/2011,19.6,19.8,19.1,19.6,82780
GIL,02/22/2011,18.8,19.7,18.8,19.1,28580
GIL,02/21/2011,20.2,20.2,19.4,19.7,82530
GIL,02/18/2011,20.2,20.7,20.2,20.2,204860
GIL,02/17/2011,20.2,20.4,20.2,20.2,60900
GIL,02/16/2011,20.7,20.7,20.4,20.6,55000
GIL,02/15/2011,20.6,20.6,20.3,20.3,9000
GIL,02/14/2011,20.7,20.7,20.2,20.2,6000
GIL,02/11/2011,20.3,21.1,20.3,20.5,8780
GIL,02/10/2011,20.6,21.1,20.6,21.1,7000
GIL,02/09/2011,21.4,21.6,20.6,21.1,138770
GIL,02/08/2011,20.8,21.5,20.8,21.4,47980
GIL,01/28/2011,20.9,20.9,20.6,20.7,112840
GIL,01/27/2011,20.8,20.8,20.7,20.7,22840
GIL,01/26/2011,21.0,21.6,21.0,21.1,31020
GIL,01/25/2011,20.2,20.7,20.0,20.7,55900
GIL,01/24/2011,20.7,20.7,20.2,20.2,65950
GIL,01/21/2011,20.8,20.9,20.7,20.8,69540
GIL,01/20/2011,20.4,21.3,20.4,20.7,58040
GIL,01/19/2011,20.4,20.5,20.2,20.4,14840
GIL,01/18/2011,21.0,21.0,20.4,20.4,35880
GIL,01/17/2011,21.3,21.3,21.0,21.0,92710
GIL,01/14/2011,21.1,21.3,20.6,21.3,5640
GIL,01/13/2011,21.2,21.4,20.8,20.8,46110
GIL,01/12/2011,21.2,21.2,21.0,21.0,54530
GIL,01/11/2011,21.1,21.1,20.7,21.1,64600
GIL,01/10/2011,21.2,21.4,21.1,21.1,127610
GIL,01/07/2011,21.2,22.0,21.1,21.1,17370
GIL,01/06/2011,21.5,21.9,21.1,21.1,60020
GIL,01/05/2011,21.6,22.1,21.5,22.1,12210
GIL,01/04/2011,21.8,22.2,21.6,22.2,45940
GIL,12/31/2010,21.6,22.5,21.6,22.5,20130
GIL,12/30/2010,22.1,22.2,22.1,22.2,24000
GIL,12/29/2010,22.0,22.2,21.8,22.2,27430
GIL,12/28/2010,20.9,22.1,20.9,22.0,28380
GIL,12/27/2010,22.1,22.1,21.6,21.6,17000
GIL,12/24/2010,21.6,22.1,21.1,22.1,42100
GIL,12/23/2010,21.7,22.1,21.7,22.1,10220
GIL,12/22/2010,22.0,22.4,22.4,22.3,36150
GIL,12/21/2010,21.9,22.6,21.8,22.4,63050
GIL,12/20/2010,22.2,22.3,21.9,22.1,28400
GIL,12/17/2010,22.0,22.1,21.4,22.0,49750
GIL,12/16/2010,22.4,22.4,21.3,21.3,36630
GIL,12/15/2010,22.2,22.4,22.2,22.3,15160
GIL,12/14/2010,22.5,22.5,21.7,22.4,155140
GIL,12/13/2010,22.2,22.2,21.5,22.1,112090
GIL,12/10/2010,21.7,21.8,21.0,21.5,40380
GIL,12/09/2010,20.5,21.1,20.5,21.0,33560
GIL,12/08/2010,21.4,21.4,20.7,20.7,28680
GIL,12/07/2010,21.6,22.2,21.4,21.4,37100
GIL,12/06/2010,21.9,22.2,21.5,22.2,60760
GIL,12/03/2010,21.4,22.5,21.4,22.2,66180
GIL,12/02/2010,21.9,21.9,21.4,21.9,47870
GIL,12/01/2010,21.4,21.8,21.0,21.4,127600
GIL,11/30/2010,20.3,21.1,20.3,21.0,129700
GIL,11/29/2010,20.3,20.3,19.7,20.3,21200
GIL,11/26/2010,20.2,20.3,19.6,20.3,26750
GIL,11/25/2010,19.7,20.2,19.7,20.2,38900
GIL,11/24/2010,19.2,19.9,19.2,19.7,28270
GIL,11/23/2010,18.7,19.8,18.7,19.8,19550
GIL,11/22/2010,19.0,19.4,18.1,19.4,67380
GIL,11/19/2010,19.0,19.3,18.9,19.0,9100
GIL,11/18/2010,19.3,19.4,18.9,19.0,19100
GIL,11/17/2010,18.6,18.7,18.6,18.6,6450
GIL,11/16/2010,18.9,19.2,18.4,19.2,237780
GIL,11/15/2010,19.4,19.9,19.0,19.0,43730
GIL,11/12/2010,20.2,20.9,19.9,19.9,185300
GIL,11/11/2010,21.1,21.1,20.6,20.8,121730
GIL,11/10/2010,21.0,21.0,20.5,20.8,204060
GIL,11/09/2010,20.3,21.2,20.3,20.8,81950
GIL,11/08/2010,20.7,21.3,20.7,20.9,122930
GIL,11/05/2010,21.9,21.9,21.0,21.2,48280
GIL,11/04/2010,21.4,21.6,21.2,21.2,21330
GIL,11/03/2010,21.4,21.5,21.1,21.2,51730
GIL,11/02/2010,21.5,21.5,20.9,21.2,37540
GIL,11/01/2010,21.6,21.7,20.9,21.5,5700
GIL,10/29/2010,21.4,21.5,21.2,21.5,26630
GIL,10/28/2010,21.4,21.4,21.0,21.3,176470
GIL,10/27/2010,22.1,22.1,21.1,21.2,45620
GIL,10/26/2010,21.8,22.0,21.4,21.7,49400
GIL,10/25/2010,21.0,21.4,20.3,21.4,86290
GIL,10/22/2010,20.2,21.0,20.2,21.0,244700
GIL,10/21/2010,20.2,20.3,19.3,20.2,67040
GIL,10/20/2010,19.8,20.5,19.6,19.7,62500
GIL,10/19/2010,20.8,21.2,20.5,20.5,39330
GIL,10/18/2010,22.0,22.0,21.0,21.0,21250
GIL,10/15/2010,21.2,21.5,21.2,21.5,53100
GIL,10/14/2010,21.2,21.7,21.2,21.3,25070
GIL,10/13/2010,21.4,21.4,20.8,21.1,57620
GIL,10/12/2010,20.8,21.2,20.8,21.0,70750
GIL,10/11/2010,21.7,21.7,21.2,21.2,42540
GIL,10/08/2010,22.1,22.1,21.2,21.7,144930
GIL,10/07/2010,22.0,22.0,21.2,21.2,135750
GIL,10/06/2010,21.3,21.5,20.9,21.5,75370
GIL,10/05/2010,19.9,21.2,19.9,20.5,195780
GIL,10/04/2010,21.2,21.6,20.5,20.5,292400
GIL,10/01/2010,22.1,22.1,21.5,21.5,71960
GIL,09/30/2010,22.6,22.6,21.6,22.1,274480
GIL,09/29/2010,23.5,23.5,22.4,22.6,69850
GIL,09/28/2010,22.9,22.9,22.9,23.5,150860
GIL,09/27/2010,24.1,24.2,23.7,23.8,65810
GIL,09/24/2010,23.7,23.8,23.3,23.6,214030
GIL,09/23/2010,23.6,23.7,23.3,23.3,205500
GIL,09/22/2010,24.0,24.0,23.5,23.8,132020
GIL,09/21/2010,23.2,24.2,23.1,23.6,336400
GIL,09/20/2010,24.4,24.4,23.2,23.4,173910
GIL,09/17/2010,23.3,23.8,23.2,23.8,217980
GIL,09/16/2010,22.3,22.8,22.3,22.7,134500
GIL,09/15/2010,22.7,23.4,22.2,22.3,374630
GIL,09/14/2010,22.9,23.4,22.1,23.3,335680
GIL,09/13/2010,23.2,24.4,23.2,23.2,466510
GIL,09/10/2010,25.3,25.5,24.4,24.4,504170
GIL,09/09/2010,25.6,25.6,25.5,25.6,1060130
GIL,09/08/2010,24.4,24.4,24.4,24.4,100460
GIL,09/07/2010,23.2,23.3,22.1,23.3,820820
GIL,09/06/2010,21.5,22.9,21.5,22.3,242220
GIL,09/01/2010,22.0,22.0,21.6,21.8,172480
GIL,08/31/2010,21.7,22.6,21.0,22.0,176180
GIL,08/30/2010,21.4,21.7,21.3,21.6,61580
GIL,08/27/2010,20.1,20.9,20.0,20.7,51050
GIL,08/26/2010,20.1,20.9,20.1,20.9,23550
GIL,08/25/2010,20.8,21.0,20.1,20.1,92160
GIL,08/24/2010,21.3,21.3,20.3,20.8,96130
GIL,08/23/2010,21.0,21.3,21.0,21.3,23100
GIL,08/20/2010,20.7,21.4,20.7,21.3,45010
GIL,08/19/2010,21.7,21.7,21.1,21.3,49110
GIL,08/18/2010,21.8,21.8,21.2,21.4,30910
GIL,08/17/2010,21.9,21.9,21.3,21.6,58270
GIL,08/16/2010,21.2,22.2,21.2,22.2,162880
GIL,08/13/2010,20.6,20.9,20.3,21.2,196230
GIL,08/12/2010,21.2,21.2,20.6,20.6,157130
GIL,08/11/2010,21.2,21.3,20.4,21.2,70940
GIL,08/10/2010,20.3,21.0,20.0,20.3,33440
GIL,08/09/2010,21.4,21.4,21.0,21.0,38680
GIL,08/06/2010,21.9,21.9,21.6,21.7,33260
GIL,08/05/2010,21.9,22.2,21.7,21.7,53900
GIL,08/04/2010,21.8,21.9,21.7,21.8,85910
GIL,08/03/2010,22.2,22.6,21.8,21.8,72110
GIL,08/02/2010,22.7,22.8,22.3,22.3,26720
GIL,07/30/2010,22.6,22.7,22.2,22.6,70590
GIL,07/29/2010,22.0,22.4,21.4,22.2,163100
GIL,07/28/2010,22.8,22.8,22.4,22.4,112800
GIL,07/27/2010,23.3,23.3,23.1,23.1,13630
GIL,07/26/2010,23.3,23.6,23.0,23.2,63690
GIL,07/23/2010,23.9,23.9,23.3,23.3,16160
GIL,07/22/2010,23.9,23.9,23.5,23.5,37930
GIL,07/21/2010,23.8,24.0,23.7,23.7,35340
GIL,07/20/2010,24.0,24.2,23.8,23.8,76760
GIL,07/19/2010,24.0,24.0,23.7,23.8,54390
GIL,07/16/2010,23.6,24.1,23.6,23.7,30580
GIL,07/15/2010,23.9,24.2,23.6,23.6,22000
GIL,07/14/2010,24.9,24.9,23.9,23.9,97170
GIL,07/13/2010,24.8,24.9,24.5,24.9,152710
GIL,07/12/2010,23.5,23.8,23.3,23.8,71870
GIL,07/09/2010,22.8,23.2,22.8,23.1,66900
GIL,07/08/2010,23.3,23.4,23.0,23.1,67750
GIL,07/07/2010,23.6,23.7,22.9,22.9,80590
GIL,07/06/2010,23.8,24.0,23.1,23.6,145500
GIL,07/05/2010,22.5,23.6,22.5,23.6,139960
GIL,07/02/2010,22.3,23.0,22.3,22.5,35070
GIL,07/01/2010,22.9,23.0,22.6,22.6,18730
GIL,06/30/2010,22.6,23.0,22.6,23.0,31810
GIL,06/29/2010,23.1,23.3,23.1,23.2,18380
GIL,06/28/2010,23.6,23.6,23.1,23.2,11580
GIL,06/25/2010,23.2,23.5,23.2,23.2,6680
GIL,06/24/2010,23.5,23.5,23.4,23.5,16340
GIL,06/23/2010,23.7,23.7,23.5,23.5,14100
GIL,06/22/2010,24.0,24.0,23.5,23.7,34440
GIL,06/21/2010,23.5,23.9,23.5,23.8,33620
GIL,06/18/2010,23.9,23.9,23.5,23.5,13170
GIL,06/17/2010,23.7,23.7,23.3,23.7,32420
GIL,06/16/2010,23.8,24.1,23.6,23.6,24770
GIL,06/15/2010,23.7,23.7,23.4,23.4,11420
GIL,06/14/2010,23.6,23.8,23.6,23.7,8800
GIL,06/11/2010,23.9,23.9,23.5,23.6,8300
GIL,06/10/2010,22.8,23.2,22.8,23.2,2590
GIL,06/09/2010,22.9,23.6,22.9,23.0,19970
GIL,06/08/2010,22.7,23.0,22.7,23.0,15030
GIL,06/07/2010,22.7,23.5,22.7,22.8,63820
GIL,06/04/2010,23.7,24.3,23.5,23.5,47550
GIL,06/03/2010,24.3,24.3,23.7,23.7,21290
