labels 0 -1 1
-1 -1 2.78616265483939E-12 0.999999635098429 3.64898784914676E-07 
-1 -1 4.38938933418462E-07 0.999668073422507 0.00033148763855973 
-1 -1 1.38722080716204E-05 0.998116772911252 0.00186935488067626 
0 0 0.999999830537547 6.40591080235167E-08 1.05403345079662E-07 
-1 0 0.999999454019558 4.70994692393086E-07 7.49857492995679E-08 
0 0 0.999999651958976 2.32789265830727E-07 1.15251757904155E-07 
0 0 0.999999653971532 2.46028087329693E-07 1.00000380484786E-07 
-1 -1 2.21952856139961E-14 0.999999944783838 5.5216140130328E-08 
0 0 0.991983795825272 0.0071814992032227 0.000834704971505675 
0 0 0.955738675942411 0.0408869864572822 0.00337433760030723 
