labels 0 1 -1
-1 -1 6.46420192416024E-13 3.23209689562363E-13 0.99999999999903 
-1 -1 3.11961785490666E-13 1.5598077038136E-13 0.999999999999532 
-1 -1 1.02756678074954E-13 5.13783230528054E-14 0.999999999999846 
-1 -1 3.83953013715062E-14 1.91976500202989E-14 0.999999999999942 
-1 -1 3.33333405555542E-14 1.66666702777773E-14 0.99999999999995 
-1 -1 3.33333405555542E-14 1.66666702777773E-14 0.99999999999995 
-1 -1 3.33333405555542E-14 1.66666702777773E-14 0.99999999999995 
-1 -1 3.33333405555542E-14 1.66666702777773E-14 0.99999999999995 
-1 -1 3.33333405555542E-14 1.66666702777773E-14 0.99999999999995 
-1 -1 1.49824147626691E-13 7.49120403656646E-14 0.999999999999775 
-1 -1 1.31330702937178E-12 6.56652259403034E-13 0.99999999999803 
-1 -1 2.97075541838625E-07 1.4838460426171E-07 0.999999554539854 
-1 -1 9.02580791599858E-07 4.50479538003852E-07 0.99999864693967 
-1 -1 1.92993995958619E-06 9.62435774604352E-07 0.999997107624266 
-1 -1 3.76211106901025E-06 1.87416227806884E-06 0.999994363726653 
-1 -1 0.00205011862665142 9.00419723694935E-08 0.997949791331376 
-1 -1 0.00284887422935519 1.77103329398306E-07 0.997150948667315 
-1 -1 3.26100445117218E-07 1.62874072288016E-07 0.999999511025483 
-1 -1 1.3265857867406E-08 6.6314842036684E-09 0.999999980102658 
-1 -1 3.7399294695912E-12 1.86995835986137E-12 0.99999999999439 
-1 -1 1.71890419080796E-12 8.59450182311468E-13 0.999999999997422 
-1 -1 6.33405732516368E-12 3.16701436458374E-12 0.999999999990499 
-1 -1 1.35745849841845E-11 6.78724683094282E-12 0.999999999979638 
-1 -1 1.06194823221757E-11 5.30970972207138E-12 0.999999999984071 
-1 -1 3.93451041377917E-11 1.96723232809258E-11 0.999999999940983 
-1 -1 3.82755964854345E-11 1.9137578785014E-11 0.999999999942587 
-1 -1 1.01674077165369E-10 5.08360804977105E-11 0.99999999984749 
-1 -1 2.33196910295759E-10 1.16595112428418E-10 0.999999999650208 
-1 -1 3.72860341035268E-10 1.86423400141639E-10 0.999999999440716 
-1 -1 5.61531779085406E-10 2.80753361101183E-10 0.999999999157715 
-1 -1 9.32008074361458E-10 4.65977225990191E-10 0.999999998602015 
-1 -1 1.42872784423538E-09 7.1431304111217E-10 0.999999997856959 
-1 -1 2.65510802839311E-09 1.32742510364646E-09 0.999999996017467 
-1 -1 2.25305149481578E-09 1.12642508380977E-09 0.999999996620523 
-1 -1 2.07349527996453E-09 1.03665886180378E-09 0.999999996889846 
-1 -1 2.01155576441397E-09 1.00569312754671E-09 0.999999996982751 
-1 -1 2.08082950824386E-09 1.0403256249464E-09 0.999999996878845 
-1 -1 2.49561412417267E-09 1.24769003456956E-09 0.999999996256696 
-1 -1 3.47977907870643E-09 1.73969690083481E-09 0.999999994780524 
-1 -1 5.25783232872401E-09 2.62855844992123E-09 0.999999992113609 
-1 -1 8.27896046725944E-09 4.13877388627364E-09 0.999999987582266 
-1 -1 1.23590137703197E-08 6.1782185894764E-09 0.999999981462768 
-1 -1 2.32112756095655E-08 1.16023206010014E-08 0.999999965186404 
-1 -1 4.25046816521996E-08 2.12441190718137E-08 0.999999936251199 
-1 -1 7.55524440106016E-08 3.77567374040837E-08 0.999999886690819 
-1 -1 1.24115158433395E-07 6.20165572335744E-08 0.999999813868284 
-1 -1 2.23639049256412E-07 1.11720052690916E-07 0.999999664640898 
-1 -1 1.28108600138324E-06 6.39177500721375E-07 0.999998079736498 
-1 -1 3.15223024426371E-06 1.57084525517279E-06 0.999995276924501 
-1 -1 1.28975618720585E-06 6.43511131929648E-07 0.999998066732681 
-1 -1 1.94991411628478E-06 9.72417046613261E-07 0.999997077668837 
-1 -1 2.78047721391669E-06 1.38591570997902E-06 0.999995833607076 
-1 -1 3.71077583705278E-06 1.84872691892769E-06 0.999994440497244 
-1 -1 0.00168163434779792 1.77861366301907E-05 0.998300579515572 
-1 -1 0.00185579550173248 2.00917328005229E-05 0.998124112765467 
-1 -1 0.00197318062029443 2.22944503595532E-05 0.998004524929346 
-1 -1 0.00206069309393545 2.43687228714884E-05 0.997914938183193 
-1 -1 0.00221966802690796 2.70564994591463E-05 0.997753275473633 
-1 -1 0.00245391068712137 3.1169914918348E-05 0.99751491939796 
-1 -1 0.00282069679718708 3.85834502735593E-05 0.997140719752539 
-1 -1 0.0038061258147005 6.23142557423405E-05 0.996131559929557 
-1 -1 0.00778257732412691 0.000130192780353927 0.992087229895519 
-1 -1 0.0307850775302831 0.000477367647510846 0.968737554822206 
-1 -1 0.00758855004020443 8.8762035423308E-05 0.992322687924372 
-1 -1 0.00771819747491022 9.27250336626731E-05 0.992189077491427 
-1 -1 0.0076261149706047 0.000165198244590442 0.992208686784805 
-1 -1 0.00789439276396772 0.000171176829224748 0.991934430406808 
-1 -1 0.00975710605200033 0.00027013701085665 0.989972756937143 
-1 -1 0.00963095986471266 0.000270895405343934 0.990098144729943 
-1 -1 0.0126635713100203 0.000506409434420689 0.986830019255559 
-1 -1 0.0472011439579359 0.00933405311788683 0.943464802924177 
-1 -1 0.105929192237654 0.00986846698366933 0.884202340778677 
0 -1 0.170825704777889 0.00545305188382649 0.823721243338284 
0 -1 0.204759560795289 0.00808754621168838 0.787152892993022 
0 -1 0.254759926740705 0.0125101011655386 0.732729972093757 
0 -1 0.163678876373125 0.00880820939928375 0.827512914227592 
0 -1 0.205030095852972 0.016358190804452 0.778611713342577 
0 -1 0.218599614102418 0.112478857191846 0.668921528705736 
0 -1 0.422932553658042 0.104849142678391 0.472218303663567 
0 0 0.577659987343987 0.0696250311445153 0.352714981511497 
0 0 0.66585491027813 0.108466787226509 0.22567830249536 
0 0 0.659421635284432 0.209997903373961 0.130580461341607 
0 0 0.515110411632967 0.40945028147861 0.0754393068884226 
0 1 0.310600576046487 0.648592746459048 0.0408066774944657 
0 1 0.36950778086552 0.587463742381131 0.043028476753349 
0 0 0.49541011872438 0.46309238422396 0.0414974970516605 
0 0 0.449835716067716 0.337881073932695 0.212283209999589 
0 0 0.59300039638005 0.214715737653537 0.192283865966413 
0 0 0.655080690259481 0.139677756598868 0.205241553141651 
0 0 0.685705900414542 0.0932129265235392 0.221081173061919 
0 0 0.698275692820344 0.0631790726077482 0.238545234571908 
0 0 0.731773266703317 0.10424101804462 0.163985715252063 
0 0 0.730230633915352 0.172699743026076 0.0970696230585725 
0 0 0.655003399892226 0.285779964601777 0.0592166355059974 
0 0 0.553551861557217 0.381895069801187 0.0645530686415966 
0 0 0.471223398467369 0.467955572292731 0.0608210292398992 
0 0 0.637446544071854 0.286322856881603 0.0762305990465425 
0 0 0.509626560763744 0.43746442279339 0.0529090164428663 
0 0 0.562153841587044 0.397763953046949 0.0400822053660066 
0 1 0.403434818175094 0.565536109360934 0.0310290724639719 
0 1 0.261488296055036 0.695302715110826 0.0432089888341383 
0 1 0.141419534127228 0.847061285988238 0.011519179884534 
0 0 0.607015582315612 0.0477112734489666 0.345273144235421 
0 0 0.759036297740479 0.0336285936000179 0.207335108659503 
0 0 0.913079241124434 0.0241093633015529 0.0628113955740137 
0 0 0.842082590072186 0.0491675178528203 0.108749892074994 
0 0 0.789556815989348 0.146226788120982 0.0642163958896702 
0 0 0.627494045143848 0.322279902711821 0.0502260521443318 
0 1 0.347293264048565 0.618608454302195 0.0340982816492392 
0 1 0.127340708205195 0.854794984667552 0.0178643071272523 
1 1 0.0341048730381326 0.9587520781553 0.00714304880656737 
