labels 0 -1 1
1 1 0.163205480135303 0.000384657863485391 0.836409862001212 
1 1 0.226232756312677 0.111149101810322 0.662618141877002 
0 1 0.23673303621291 0.133051278037965 0.630215685749125 
1 0 0.796117071075466 0.0840487439560219 0.119834184968513 
0 0 0.688909989163403 0.0536976053266387 0.257392405509958 
0 0 0.647950342229706 0.0353748400289321 0.316674817741362 
1 0 0.61784675543768 0.0270004717157497 0.355152772846571 
0 0 0.589648885986585 0.0255726835943614 0.384778430419053 
0 0 0.572425208558565 0.0283537006649861 0.399221090776449 
1 1 0.474685707170812 0.0260243282194498 0.499289964609738 
1 1 0.4331922686236 0.0237101991699182 0.543097532206482 
1 0 0.607753609001856 0.0302494031487005 0.361996987849444 
1 0 0.615784021860873 0.0277850419706832 0.356430936168444 
1 1 0.438144059216118 0.0209421161513887 0.540913824632493 
1 0 0.740857679300864 0.0604104343625861 0.19873188633655 
1 0 0.652012263960256 0.035968534044772 0.312019201994972 
1 1 0.324828119490353 0.00898491084680057 0.666186969662846 
1 1 0.21043426084635 0.00246548974215234 0.787100249411497 
1 1 0.00506901141466074 0.000310646327283556 0.994620342258056 
1 1 0.102449538399566 0.000192909976968706 0.897357551623466 
1 1 0.114987198261448 0.000177260796259553 0.884835540942292 
0 0 0.571430534452688 0.178581904139781 0.24998756140753 
0 0 0.509845071512263 0.130027540482693 0.360127388005044 
0 0 0.671618035194792 0.063919250843139 0.264462713962069 
1 0 0.749644879932858 0.0111599105792294 0.239195209487912 
1 0 0.801944744362865 0.00138585373001981 0.196669401907115 
1 0 0.875184240742644 7.96378403948936E-05 0.124736121416961 
1 0 0.875782604527652 9.2047102445448E-05 0.124125348369903 
1 0 0.873191429830372 4.69002096771472E-05 0.126761669959951 
1 0 0.860887758696844 5.94466717835124E-05 0.139052794631372 
1 0 0.779183822051558 0.000180755522865054 0.220635422425577 
1 0 0.637863893726828 0.000590933464733075 0.361545172808439 
0 0 0.653034076852815 0.00213284692000449 0.34483307622718 
0 0 0.569494197362888 0.00347990121757232 0.42702590141954 
0 0 0.64776040083749 0.000648070064867273 0.351591529097643 
0 0 0.761563546313398 0.000229610942710367 0.238206842743891 
0 0 0.620595317507111 0.000617706699448356 0.378786975793441 
-1 0 0.556606819003187 0.000841955673153728 0.442551225323659 
-1 0 0.505304073883855 7.9586722596565E-05 0.494616339393548 
-1 1 0.364557930566771 0.000189244418766535 0.635252825014463 
-1 0 0.632224303272782 0.000717113589671599 0.367058583137546 
-1 0 0.660135548427945 0.000482329125480194 0.339382122446575 
-1 0 0.792674877264814 0.000161587500018983 0.207163535235167 
-1 0 0.866503366938212 0.133479739249386 1.68938124021909E-05 
-1 0 0.59488186839907 0.404996416983616 0.000121714617313469 
-1 -1 0.394678148272565 0.605215146500822 0.000106705226613151 
