labels 0 -1 1
0 0 0.998602424770716 8.99466947840245E-05 0.0013076285344998 
-1 0 0.99839663581836 3.74528563205834E-05 0.00156591132531941 
-1 0 0.998189281012079 2.89731202074956E-05 0.00178174586771331 
-1 0 0.997917834770173 2.79997086855567E-05 0.00205416552114171 
0 0 0.979262324716549 0.0127406847112325 0.0079969905722188 
0 0 0.973915575002763 0.0183325643786058 0.0077518606186313 
0 0 0.963229162958727 0.0290470623970317 0.0077237746442414 
0 0 0.944133655875567 0.0481862001183186 0.00768014400611385 
0 0 0.918075464757642 0.0674851155461617 0.0144394196961965 
0 0 0.91707347734487 0.0688241287306026 0.0141023939245272 
0 0 0.915920712349801 0.0701973446104752 0.0138819430397239 
0 0 0.914396839737536 0.0718282282723511 0.0137749319901134 
-1 0 0.913099217602299 0.0731507787917493 0.0137500036059513 
-1 0 0.911817430381907 0.0743892434422 0.013793326175893 
-1 0 0.910264469888459 0.0758943656613556 0.0138411644501854 
-1 0 0.909104721927182 0.0768738714518081 0.0140214066210102 
-1 0 0.907347573229728 0.0783002594793978 0.0143521672908739 
-1 0 0.905252771258146 0.0799437115783532 0.0148035171635009 
-1 0 0.900219550120517 0.0842250610982467 0.0155553887812366 
0 0 0.886114259870689 0.0963930012962551 0.0174927388330561 
0 0 0.882186633322109 0.0997916533203927 0.0180217133574978 
0 0 0.875828002479919 0.105416065801384 0.018755931718697 
0 0 0.85354959499668 0.123677358531093 0.0227730464722274 
0 0 0.827853315036094 0.145721731037233 0.0264249539266726 
0 0 0.80692096908648 0.164855743002411 0.0282232879111097 
0 0 0.775887153668461 0.191363990619828 0.0327488557117109 
0 0 0.645056354450531 0.293872403022 0.0610712425274688 
0 0 0.582549327921642 0.336946018347766 0.0805046537305921 
0 0 0.478809813035158 0.413998096238287 0.107192090726555 
0 -1 0.351245803521938 0.514464262748208 0.134289933729854 
0 -1 0.302770647533921 0.562389980443616 0.134839372022463 
0 -1 0.318459624981003 0.563873028192042 0.117667346826955 
0 -1 0.276621773628514 0.608570619284869 0.114807607086617 
-1 -1 0.237428603700649 0.648654405808393 0.113916990490959 
-1 -1 0.177648723038845 0.712540379128932 0.109810897832223 
-1 -1 0.160206088540011 0.737161770014421 0.102632141445568 
-1 -1 0.189280750637116 0.717185220210882 0.0935340291520018 
-1 -1 0.22355187940398 0.689890567862062 0.0865575527339578 
0 -1 0.27707593143297 0.643230035231321 0.0796940333357094 
0 -1 0.34848401848283 0.580118307283323 0.0713976742338473 
0 -1 0.440148652854421 0.49760601356168 0.0622453335838985 
0 0 0.531927944843459 0.415476399231012 0.0525956559255291 
0 0 0.565971941457623 0.384422911691092 0.0496051468512854 
0 -1 0.257779415159577 0.66338864531332 0.0788319395271033 
0 -1 0.243290726328525 0.682854469066092 0.0738548046053832 
0 -1 0.247583433591807 0.68480870056835 0.0676078658398427 
0 -1 0.253156093346346 0.685419109752238 0.0614247969014155 
0 -1 0.274970031395885 0.670597585419819 0.0544323831842953 
-1 -1 0.292700256584839 0.659390428228076 0.0479093151870854 
-1 -1 0.340634746198061 0.617679971919601 0.0416852818823374 
-1 -1 0.417508172107219 0.54703973994156 0.0354520879512207 
-1 0 0.520067852257337 0.450664446221994 0.0292677015206695 
-1 0 0.651482118957479 0.325805692759224 0.0227121882832973 
-1 0 0.776652801231519 0.206678413908325 0.016668784860156 
-1 0 0.84278738822707 0.143963573586328 0.0132490381866014 
-1 0 0.826643157463133 0.159702450919111 0.0136543916177556 
-1 0 0.81241887173061 0.173374820341394 0.0142063079279959 
-1 0 0.847963443161726 0.139032871679877 0.0130036851583976 
-1 0 0.828638442334708 0.157192937758964 0.0141686199063279 
-1 0 0.801936558753325 0.182186327680372 0.015877113566303 
-1 0 0.816235916692044 0.167664521448209 0.0160995618597472 
-1 0 0.805101612946507 0.177344543364924 0.0175538436885692 
-1 0 0.802299633451616 0.180074981590885 0.0176253849574995 
-1 0 0.763579739330318 0.217335123922261 0.0190851367474209 
-1 0 0.76720982525897 0.213803708368033 0.018986466372997 
-1 0 0.72642904342205 0.25319095646504 0.0203800001129097 
-1 0 0.687899155878349 0.29033387278132 0.0217669713403309 
-1 0 0.919998955844595 0.0636542449584793 0.0163467991969258 
-1 0 0.837354236488175 0.128733178971874 0.0339125845399515 
-1 0 0.681362978086288 0.252256226071974 0.066380795841738 
-1 0 0.50622765795199 0.405835905611373 0.0879364364366369 
-1 0 0.924919337741872 0.0599548425404847 0.0151258197176428 
-1 0 0.925633717164611 0.059613410667669 0.01475287216772 
-1 0 0.927087673426939 0.058690249372903 0.0142220772001575 
-1 0 0.929320118167526 0.0571590256728895 0.0135208561595845 
-1 0 0.932150981409642 0.0551098487600571 0.0127391698303007 
-1 0 0.936244201908565 0.0521109804077526 0.0116448176836828 
-1 0 0.939207238010213 0.049912986079426 0.0108797759103614 
-1 0 0.942598857252653 0.0473976440125695 0.0100034987347769 
-1 0 0.945854736996821 0.0449742508808115 0.00917101212236711 
-1 0 0.948496077064438 0.0429931436733575 0.00851077926220429 
-1 0 0.950135476912638 0.0419127844133645 0.00795173867399779 
-1 0 0.948406624730865 0.0437312586428128 0.00786211662632253 
-1 0 0.940548862303263 0.0505728617991 0.00887827589763734 
-1 0 0.935729419479022 0.0552076241920608 0.00906295632891739 
-1 0 0.92470466566309 0.0652041835626978 0.0100911507742121 
-1 0 0.905294950804348 0.0826463617850926 0.0120586874105595 
-1 0 0.87416100788729 0.110599149470007 0.0152398426427026 
-1 0 0.817749948189209 0.160601683774935 0.0216483680358556 
-1 0 0.731894370491535 0.23678986277792 0.0313157667305444 
