-1 1:0.176221171746875 2:0.235495565879914 3:0.33841858870718 4:-0.0362828474969433 5:0.00295895796283849 6:0.290837332074807 7:0.221477972672776 8:0.152118613270746 9:0.2 10:0.4 
-1 1:0.177823182399119 2:0.229792407957924 3:0.334401238917705 4:-0.0343704523677891 5:0.00404466937349471 6:0.288254792133174 7:0.217793348172614 8:0.147331904212055 9:1 10:0.2 
-1 1:0.179425193051363 2:0.224794134722922 3:0.330309950175051 4:-0.0321313305746389 5:0.00472767038049303 6:0.286367033651722 7:0.21474952793335 8:0.143132022214979 9:1 10:0.2 
-1 1:0.181027203703607 2:0.220372585322728 3:0.326292600385577 4:-0.0300949327415498 5:0.00489908467128897 6:0.282158851802929 7:0.211225104498413 8:0.140291357193896 9:1 10:0.2 
-1 1:0.182629214355852 2:0.216591840183431 3:0.322349189549283 4:-0.0274416285916611 5:0.00609135310247419 6:0.274879091936447 7:0.207220077867802 8:0.139561063799157 9:1 10:0.2 
-1 1:0.18583323566034 2:0.213451899305032 3:0.318455071348443 4:-0.024807119273963 5:0.00703923911885145 6:0.265510730212025 7:0.203215051237191 8:0.140919372262358 9:1 10:0.2 
-1 1:0.189037256964829 2:0.210952762687531 3:0.31465953841851 4:-0.0220340857408055 5:0.00755799741134495 6:0.257938375220938 7:0.200011029932703 8:0.142083684644467 9:1 10:0.2 
-1 1:0.18583323566034 2:0.208774028200479 3:0.31076542021767 4:-0.019696097954923 5:0.00756833917807595 6:0.249149089677277 7:0.19664680756299 8:0.144144525448702 9:0.8 10:0.2 
-1 1:0.182629214355852 2:0.206018569878619 3:0.306920594652284 4:-0.0207744721780942 5:0.005326189703593 6:0.238665718399805 7:0.193122384128052 8:0.147579049856299 9:0.6 10:0.2 
