labels -1 0 1
0 0 0.246571507391809 0.472897756566525 0.280530736041667 
0 1 0.144710958933515 0.24913204602451 0.606156995041975 
0 1 0.100781126433692 0.442619747911449 0.456599125654858 
0 0 0.248315231361292 0.444961267721141 0.306723500917567 
0 0 0.356818168895225 0.494746176299596 0.148435654805179 
0 0 0.27442941183066 0.615955139241099 0.109615448928241 
0 0 0.197524370948108 0.656415479886054 0.146060149165838 
0 0 0.185673999458457 0.66952958523822 0.144796415303323 
0 0 0.27731814579496 0.632496852921308 0.0901850012837322 
0 0 0.308703700791921 0.614802312268364 0.0764939869397154 
0 0 0.174531404759992 0.760194728950788 0.0652738662892197 
0 -1 0.474124406993491 0.461314844275246 0.0645607487312624 
0 0 0.212327347590992 0.712800077240613 0.0748725751683952 
0 0 0.433199535356138 0.44775149635773 0.119048968286132 
0 -1 0.560235177731552 0.338104237800119 0.10166058446833 
0 0 0.149928391889482 0.80553637656322 0.0445352315472981 
0 0 0.295769058334309 0.638888183971667 0.0653427576940237 
0 0 0.187298643235766 0.664364878157373 0.14833647860686 
0 0 0.228033657314956 0.674172769768943 0.0977935729161014 
0 0 0.288804953058683 0.616868335151494 0.0943267117898227 
0 0 0.406166725595579 0.480164360508981 0.11366891389544 
0 -1 0.479290464978638 0.441970065111484 0.0787394699098781 
0 0 0.221000001440222 0.715153070836349 0.0638469277234288 
0 0 0.288496502513394 0.554050139235576 0.15745335825103 
0 0 0.35721544705342 0.500030314718782 0.142754238227798 
0 0 0.161047935290979 0.699634343936929 0.139317720772092 
0 0 0.195932960343356 0.69751339914893 0.106553640507715 
0 0 0.31831715183784 0.571573761996936 0.110109086165224 
0 0 0.192811600652917 0.60359221141461 0.203596187932473 
0 0 0.205598689623135 0.57197864819518 0.222422662181685 
0 0 0.160074662887987 0.625096090542794 0.214829246569219 
0 0 0.192782409427717 0.621493210536163 0.18572438003612 
0 0 0.0691329735463638 0.774283692759535 0.156583333694101 
0 0 0.0675554460205414 0.791551970367994 0.140892583611465 
0 0 0.0870716244422965 0.797963031381714 0.114965344175989 
0 0 0.211762715889946 0.67965696957884 0.108580314531214 
0 0 0.217787399405072 0.653380590803055 0.128832009791873 
0 0 0.270438721165079 0.525506047249469 0.204055231585452 
-1 0 0.164326091744137 0.681848246664422 0.153825661591441 
-1 0 0.202069776683929 0.684569540627087 0.113360682688985 
-1 0 0.27571373585104 0.634198373006621 0.0900878911423388 
-1 0 0.223991540769297 0.669089141443136 0.106919317787568 
-1 0 0.313993023520554 0.619806137124134 0.0662008393553127 
-1 0 0.354793838233884 0.596059657166645 0.0491465045994711 
-1 0 0.27091886122684 0.670545357239472 0.058535781533689 
-1 0 0.267407228575448 0.67975863976172 0.0528341316628318 
0 0 0.429673388663419 0.50981033517721 0.0605162761593702 
-1 0 0.314020804166589 0.641771414649861 0.0442077811835498 
0 0 0.281189741775829 0.674324649945705 0.0444856082784665 
0 0 0.115063191152541 0.825819768750904 0.0591170400965544 
-1 0 0.230175934050765 0.704702611948322 0.0651214540009134 
0 0 0.107056998970877 0.735699287676305 0.157243713352818 
0 0 0.155797301933805 0.729224692209065 0.11497800585713 
-1 0 0.169305039105483 0.696745688652626 0.133949272241891 
-1 0 0.197460418214473 0.680461869462046 0.12207771232348 
-1 0 0.354981494715154 0.539064423111504 0.105954082173342 
-1 0 0.286769243307075 0.574520630824477 0.138710125868448 
0 0 0.350722622593739 0.526914914802272 0.122362462603989 
-1 0 0.369535716667095 0.471614976700192 0.158849306632713 
-1 0 0.247366197425268 0.650711858866462 0.10192194370827 
-1 0 0.233411145614052 0.661922090657744 0.104666763728205 
-1 0 0.11567428965203 0.779116177297024 0.105209533050947 
-1 0 0.243825848038018 0.665514080595803 0.0906600713661791 
-1 0 0.287510779347828 0.649553888980016 0.062935331672156 
0 0 0.167149453688199 0.77991642207169 0.0529341242401109 
0 0 0.434088538390065 0.500602065234116 0.0653093963758188 
0 -1 0.509394273270657 0.400889602274234 0.089716124455109 
0 -1 0.513174020046945 0.373471508628733 0.113354471324322 
0 -1 0.604531851117463 0.275676063996565 0.119792084885971 
0 0 0.31351335458398 0.629302107012791 0.0571845384032287 
0 0 0.299410693318439 0.638246364952827 0.0623429417287339 
-1 0 0.333895883372701 0.575839853848939 0.0902642627783598 
-1 0 0.271476638180615 0.596423662752982 0.132099699066403 
-1 0 0.297627961111976 0.554854392779777 0.147517646108247 
-1 0 0.330295441518605 0.545865850150115 0.12383870833128 
-1 0 0.153823875612925 0.74970167844879 0.0964744459382848 
-1 0 0.356685080070077 0.532210019331365 0.111104900598558 
-1 0 0.409175334167417 0.471158293782755 0.119666372049828 
0 -1 0.556436275695382 0.340318581929975 0.103245142374643 
0 0 0.354643772582893 0.511602012874635 0.133754214542471 
-1 0 0.288605778337649 0.620225612813183 0.0911686088491684 
-1 0 0.157972875318068 0.721347628360885 0.120679496321047 
0 0 0.273798093974886 0.640517488815873 0.0856844172092408 
-1 0 0.253417651178019 0.658893813394704 0.0876885354272772 
0 0 0.275854877646966 0.64249721011505 0.0816479122379841 
0 0 0.345376171740412 0.592897773199089 0.0617260550604992 
0 0 0.428785705558115 0.502875095445829 0.0683391989960558 
0 0 0.250565656274892 0.541196380333665 0.208237963391442 
0 0 0.306919506942749 0.556564193429279 0.136516299627972 
0 0 0.292056595109884 0.544454679570287 0.163488725319829 
0 0 0.3021634573194 0.558666206444251 0.139170336236349 
0 0 0.189420756069428 0.573674707757088 0.236904536173484 
0 0 0.166117103507292 0.608737304084918 0.225145592407789 
0 0 0.175243987322588 0.626638712442571 0.198117300234841 
0 0 0.210218238984411 0.60851042441469 0.181271336600899 
0 0 0.194438151058956 0.627206613335891 0.178355235605153 
0 0 0.0881151558723787 0.72155464918278 0.190330194944841 
0 0 0.252795487501198 0.573346764206568 0.173857748292234 
0 0 0.135469567435828 0.69596610236381 0.168564330200362 
0 -1 0.417130037313602 0.392800897247175 0.190069065439223 
0 0 0.156304540362932 0.661308706977046 0.182386752660022 
0 0 0.0455320734169923 0.722645374370287 0.231822552212721 
1 0 0.0465250434703002 0.771267384347105 0.182207572182595 
1 0 0.0611503459117718 0.786616545833912 0.152233108254316 
1 0 0.136379118093319 0.716194662550098 0.147426219356583 
0 0 0.340799329257593 0.49561104880275 0.163589621939657 
0 -1 0.404118488141713 0.380558942912972 0.215322568945315 
1 0 0.36186461538063 0.477695362932331 0.16044002168704 
0 0 0.182275348673591 0.515688285367845 0.302036365958564 
0 0 0.222932009937589 0.510377237310556 0.266690752751855 
0 1 0.107250532783938 0.175494584274313 0.717254882941749 
0 1 0.0935329675346451 0.276914495596908 0.629552536868447 
0 1 0.0772682543646015 0.421468338321474 0.501263407313924 
0 1 0.235708305498546 0.362828981080136 0.401462713421319 
0 0 0.129776449560184 0.604597326989719 0.265626223450097 
0 0 0.096906825165323 0.75751847096216 0.145574703872518 
0 0 0.114069285776051 0.785399526511321 0.100531187712628 
0 0 0.224536167446724 0.680714703745398 0.0947491288078773 
0 0 0.253033379744065 0.658766061366851 0.0882005588890838 
0 0 0.0709931040585589 0.835440627414491 0.0935662685269503 
0 0 0.203298672144352 0.6988149594787 0.0978863683769477 
0 -1 0.472512853637285 0.401116374908384 0.12637077145433 
-1 0 0.354696576231922 0.497987586797863 0.147315836970214 
-1 0 0.401592279624573 0.449691777570797 0.14871594280463 
-1 -1 0.497107088300998 0.356115471490878 0.146777440208124 
-1 0 0.30851692315542 0.532649683470344 0.158833393374236 
-1 0 0.221056874641637 0.652002503475369 0.126940621882994 
-1 0 0.227637392324002 0.650244675907162 0.122117931768836 
-1 0 0.275543069076613 0.631349935010273 0.0931069959131134 
-1 0 0.300214637706621 0.620070564802053 0.0797147974913254 
-1 0 0.32614869199442 0.602657058248161 0.0711942497574198 
-1 0 0.372543162951113 0.557491583721229 0.0699652533276587 
-1 -1 0.467831308568336 0.455396655657241 0.0767720357744232 
-1 -1 0.59525465646231 0.309336558340936 0.0954087851967543 
-1 -1 0.643793887828006 0.224124523367176 0.132081588804819 
-1 0 0.305933178386201 0.586561334567557 0.107505487046242 
-1 0 0.277831081770686 0.616141039562097 0.106027878667216 
-1 0 0.320607490979766 0.588423053979988 0.0909694550402463 
-1 0 0.28041023096111 0.602107181163366 0.117482587875524 
-1 0 0.268268792235008 0.629235836020834 0.102495371744158 
-1 0 0.277787548314283 0.63385586033314 0.0883565913525766 
-1 0 0.29859595412154 0.626777510146983 0.0746265357314766 
-1 0 0.281744929502491 0.641118049814807 0.077137020682702 
-1 0 0.37478449086601 0.559869355850734 0.0653461532832559 
-1 0 0.174204762908725 0.697611988436854 0.128183248654421 
-1 0 0.21930953076871 0.670678235541938 0.110012233689352 
-1 0 0.364347966398918 0.520313601611999 0.115338431989083 
-1 0 0.388650696180526 0.495146607901248 0.116202695918226 
-1 0 0.300358681900546 0.375628483306922 0.324012834792532 
-1 0 0.18269361103506 0.61226071104905 0.205045677915889 
0 0 0.169693411319307 0.707750785944275 0.122555802736418 
0 0 0.343036370658572 0.578642708312599 0.0783209210288292 
0 0 0.281317235789273 0.628952635173419 0.089730129037309 
0 0 0.285954057177066 0.629015005067812 0.0850309377551226 
0 0 0.258768283914575 0.656245290160433 0.0849864259249916 
0 0 0.0670241485202617 0.759376345965117 0.173599505514621 
0 0 0.0874809360849828 0.729787782597221 0.182731281317796 
0 0 0.0902880115272755 0.745592849114287 0.164119139358437 
0 0 0.0910076806323118 0.766031248428145 0.142961070939543 
0 0 0.124910220812551 0.740951995744803 0.134137783442646 
0 0 0.255362330157745 0.588122007392897 0.156515662449358 
0 0 0.332048282379573 0.52020525067041 0.147746466950018 
-1 -1 0.423217304350924 0.420408320911736 0.15637437473734 
-1 -1 0.510568141748794 0.320089548211431 0.169342310039775 
-1 0 0.197116195599626 0.681236763461433 0.121647040938941 
0 0 0.208630815471345 0.682449592987523 0.108919591541132 
-1 0 0.234606569001172 0.630075368125434 0.135318062873395 
-1 0 0.20669143388148 0.655855022039341 0.137453544079179 
-1 0 0.203999633610449 0.665929200300124 0.130071166089427 
-1 0 0.210921652657762 0.67514626036912 0.113932086973119 
-1 0 0.196721467320958 0.685549953162758 0.117728579516283 
-1 0 0.325605693123086 0.5931381310596 0.0812561758173142 
-1 0 0.23609072095396 0.660974319518944 0.102934959527097 
0 0 0.271968995388455 0.64236415247822 0.0856668521333251 
-1 0 0.286076276081815 0.63626428277409 0.0776594411440945 
-1 0 0.295205353833822 0.44521225189968 0.259582394266499 
