labels 0 -1 1
0 0 0.639651277093454 0.360185018487322 0.000163704419223315 
0 0 0.644517550986405 0.355360903541405 0.000121545472189559 
0 0 0.776772053351124 0.223206656751808 2.12898970675447E-05 
0 0 0.936107361522273 0.0638918559832959 7.82494431189861E-07 
0 0 0.994845310272013 0.00515461476871768 7.49592695220624E-08 
-1 0 0.99987849403089 0.000121455770459712 5.01986506901846E-08 
-1 0 0.999967975513265 3.19743776011194E-05 5.01091337856036E-08 
-1 0 0.999992614561842 7.33541004180296E-06 5.00281157742049E-08 
0 0 0.999998122076659 1.82791755639654E-06 5.00057843815377E-08 
0 0 0.999999580756826 3.69241396749613E-07 5.00017773104213E-08 
0 0 0.999999849997666 1.00000014893666E-07 5.00023195974025E-08 
0 -1 0.103149407187421 0.896426522405609 0.000424070406969917 
0 -1 0.0865220426327365 0.909860995404274 0.00361696196298959 
0 -1 0.0722625806930154 0.910697069699643 0.017040349607342 
0 -1 0.0599606002423727 0.926365625474328 0.0136737742832995 
0 -1 0.0736451473736463 0.917665656179007 0.00868919644734653 
-1 -1 0.0351591335108319 0.96407286318944 0.00076800329972788 
-1 0 0.845700890357325 0.100615619836261 0.053683489806415 
-1 -1 0.0258204677051948 0.974161424151949 1.81081428561575E-05 
-1 -1 0.0216893267296779 0.978283653020043 2.70202502796066E-05 
-1 -1 0.0333706569845828 0.966620085295842 9.25771957531372E-06 
-1 -1 0.0385228834011139 0.961471293524983 5.82307390368986E-06 
-1 -1 0.0870182521578111 0.912957850180996 2.38976611930433E-05 
0 -1 0.0664509979761469 0.933541328566912 7.67345694114747E-06 
0 -1 0.0628936284451627 0.937103147237513 3.22431732404579E-06 
0 -1 0.0609238740446021 0.939073640163767 2.48579163070445E-06 
0 -1 0.0160811039038803 0.983915032515886 3.86358023353338E-06 
0 -1 0.0180718079280722 0.981925762073924 2.42999800403607E-06 
0 -1 0.188395324232623 0.811558634098507 4.60416688697722E-05 
0 -1 0.187924869806564 0.811882730558592 0.000192399634844157 
0 -1 0.0196710999038229 0.980252788238997 7.61118571799311E-05 
0 -1 0.101749467216711 0.898184458540049 6.60742432405007E-05 
0 -1 0.39395609672214 0.606016635537195 2.72677406652961E-05 
0 -1 0.279168058893564 0.720745121355012 8.68197514238291E-05 
0 -1 0.0895625307367957 0.910270067356057 0.000167401907147682 
