labels -1 0 1
0 0 0.00614151379979888 0.565892164610024 0.427966321590178 
0 0 0.0191501316438891 0.605706242739279 0.375143625616831 
0 0 0.020376446097342 0.714036851634467 0.265586702268192 
0 0 0.0463855556029083 0.71996684423407 0.233647600163022 
-1 0 0.354491136729957 0.572870880249681 0.0726379830203623 
-1 -1 0.933352469615851 0.0357341036841172 0.0309134267000313 
-1 -1 0.658268868698 0.220191530450717 0.121539600851283 
-1 -1 0.916973767652579 0.0811054337642785 0.00192079858314305 
-1 -1 0.903534968542849 0.0606358050471427 0.0358292264100083 
-1 -1 0.620813824484841 0.247620274656614 0.131565900858544 
0 0 0.265425203120802 0.538314726027475 0.196260070851723 
-1 -1 0.722122956971067 0.272816489929342 0.00506055309959152 
-1 0 0.174497222326477 0.823134589454003 0.00236818821951977 
0 0 0.0524128042850924 0.895836500367884 0.0517506953470235 
-1 0 0.0835993425113851 0.871316776322468 0.0450838811661471 
-1 0 0.0103953004781684 0.889977618886785 0.099627080635047 
-1 0 0.042558220588405 0.573481869460996 0.383959909950599 
0 0 0.0316717047832453 0.559641314594439 0.408686980622316 
0 0 0.120168261980809 0.726034402396037 0.153797335623154 
0 0 0.163528962128533 0.739374110327818 0.0970969275436495 
0 0 0.264407936519332 0.601628002330492 0.133964061150177 
0 0 0.185520117964991 0.785989293232545 0.0284905888024636 
0 0 0.232510204990094 0.658014842076675 0.109474952933232 
0 0 0.109774976904054 0.74787822152969 0.142346801566256 
0 0 0.10259699097455 0.836055613108164 0.0613473959172863 
0 -1 0.476004774033065 0.43402865532592 0.0899665706410144 
0 0 0.141456747143521 0.811085846352324 0.0474574065041553 
0 0 0.0771868130050664 0.903645050715057 0.0191681362798771 
0 0 0.210319058505339 0.770030816751346 0.019650124743315 
0 0 0.00484158124325781 0.801984462550929 0.193173956205813 
0 0 0.00929020990763184 0.898258361301515 0.0924514287908533 
0 0 0.0325265364940107 0.937308235610884 0.0301652278951051 
0 0 0.028388745292095 0.926119666046632 0.0454915886612729 
0 0 0.0361880165006465 0.956926858593192 0.00688512490616184 
0 0 0.052921684310604 0.917812558015173 0.0292657576742227 
0 0 0.030619032273491 0.948244242247052 0.0211367254794564 
0 0 0.0761328009190614 0.919074379213928 0.0047928198670105 
0 0 0.137968591650647 0.857406539495514 0.00462486885383869 
0 0 0.258659789523901 0.734178342232296 0.0071618682438027 
0 0 0.0317169137018072 0.962097816626427 0.00618526967176578 
0 0 0.00572390389706429 0.906388916099116 0.08788718000382 
0 0 0.000349647354568668 0.714672601376402 0.284977751269029 
0 1 0.000427928459378392 0.231496637268462 0.76807543427216 
0 1 0.000122992372123299 0.147635869942803 0.852241137685073 
0 0 0.000576307915552018 0.584904115770968 0.414519576313479 
0 0 0.0022766235319215 0.909781507267007 0.0879418692010709 
0 0 0.0115485068904353 0.933687783820425 0.0547637092891396 
-1 0 0.00691927569005253 0.973893846123697 0.0191868781862501 
0 0 0.0460891942649084 0.75973530596262 0.194175499772472 
-1 0 0.027650298539456 0.486827235232494 0.48552246622805 
-1 0 0.0386058685372516 0.890926325333755 0.0704678061289932 
