labels 0 1 -1
-1 -1 4.16721237050901E-08 2.0828015068245E-08 0.999999937499861 
-1 -1 1.20849435354731E-09 6.04207552859649E-10 0.999999998187298 
-1 -1 5.5443567072283E-11 2.77213995312751E-11 0.999999999916835 
-1 -1 5.30310256886502E-12 2.65154038912232E-12 0.999999999992045 
-1 -1 1.73583909175234E-12 8.67917603296591E-13 0.999999999997396 
-1 -1 2.99690420662741E-13 1.49845096018274E-13 0.99999999999955 
-1 -1 7.49381531243387E-14 3.74690685952461E-14 0.999999999999888 
-1 -1 4.01448009076242E-14 2.00723995368624E-14 0.99999999999994 
-1 -1 7.89934529983759E-14 3.94967174835205E-14 0.999999999999882 
-1 -1 2.27285928788796E-13 1.13642893421492E-13 0.999999999999659 
-1 -1 5.21540500128567E-13 2.60769962971458E-13 0.999999999999218 
-1 -1 4.81101004971798E-11 2.40547402635605E-11 0.999999999927835 
-1 -1 2.93283649114595E-10 1.46637105549477E-10 0.999999999560079 
-1 -1 9.05641305231449E-10 4.52795018406929E-10 0.999999998641564 
-1 -1 1.39482742677886E-09 6.97364756108895E-10 0.999999997907808 
-1 -1 1.52386754193901E-09 7.61877961338047E-10 0.999999997714255 
-1 -1 2.34305281761403E-09 1.17142021420789E-09 0.999999996485527 
-1 -1 3.4929991797914E-10 1.74643849801791E-10 0.999999999476056 
-1 -1 1.94899016984886E-11 9.74487180733874E-12 0.999999999970765 
-1 -1 5.14717336001475E-13 2.57358387011514E-13 0.999999999999228 
-1 -1 1.14646306224543E-13 5.73231331500526E-14 0.999999999999828 
-1 -1 9.60060456550804E-14 4.8003008959921E-14 0.999999999999856 
-1 -1 4.01498583861497E-14 2.00749282753824E-14 0.99999999999994 
-1 -1 3.3810312866977E-14 1.6905156374775E-14 0.999999999999949 
-1 -1 3.33333405555542E-14 1.66666702777773E-14 0.99999999999995 
-1 -1 6.59802295487594E-14 3.2990108967153E-14 0.999999999999901 
-1 -1 1.94077710556444E-13 9.70388016076252E-14 0.999999999999709 
-1 -1 6.27268029099406E-13 3.13633627173562E-13 0.999999999999059 
-1 -1 2.08959774634554E-12 1.04479628030374E-12 0.999999999996866 
-1 -1 7.31259050433962E-12 3.65627744617359E-12 0.999999999989031 
-1 -1 2.68381020281059E-11 1.34189227062914E-11 0.999999999959743 
-1 -1 9.10327860040195E-11 4.55155819266509E-11 0.999999999863452 
-1 -1 3.18177701482594E-10 1.59083516706765E-10 0.999999999522739 
-1 -1 6.58398894960506E-10 3.29183534514452E-10 0.999999999012418 
-1 -1 1.26886099080569E-09 6.34387861978767E-10 0.999999998096751 
-1 -1 2.08432277206187E-09 1.0420715563235E-09 0.999999996873606 
-1 -1 2.80001476040832E-09 1.3998674633814E-09 0.999999995800118 
-1 -1 4.33880250149904E-09 2.16913135244872E-09 0.999999993492066 
-1 -1 7.86684948335454E-09 3.93276578580959E-09 0.999999988200385 
-1 -1 1.5363602344982E-08 7.68000281013571E-09 0.999999976956395 
-1 -1 3.29825986079607E-08 1.64856434260456E-08 0.999999950531758 
-1 -1 4.90878224567726E-08 2.45336445730188E-08 0.999999926378533 
-1 -1 8.12272053631587E-08 4.05917556531256E-08 0.999999878181039 
-1 -1 1.34721823533E-07 6.73142633775093E-08 0.999999797963913 
-1 -1 2.21792685945066E-07 1.10797850034941E-07 0.999999667409464 
-1 -1 3.38012198757981E-07 1.68820893039213E-07 0.999999493166908 
-1 -1 6.4748272164697E-07 3.2325261611822E-07 0.999999029264662 
-1 -1 1.16856157052551E-06 5.83100150695778E-07 0.999998248338279 
-1 -1 1.63689725015577E-06 8.16489739137521E-07 0.999997546613011 
-1 -1 2.42458876282529E-06 1.20875221989314E-06 0.999996366659017 
-1 -1 3.08819582694431E-06 1.53901150990657E-06 0.999995372792663 
-1 -1 3.76013179661852E-06 1.87323986173009E-06 0.999994366628342 
-1 -1 4.38114449168844E-06 2.1819974249153E-06 0.999993436858083 
