labels 0 -1 1
1 0 0.814685802286941 0.00217158267062515 0.183142615042433 
0 0 0.923307788186129 0.00100608059311064 0.0756861312207605 
0 0 0.959384430672339 0.000810348537188372 0.0398052207904728 
0 0 0.975368870814941 0.000282680347949901 0.0243484488371093 
0 0 0.971116358507573 0.000371669655865618 0.0285119718365616 
0 0 0.972547802827999 0.000360004444598191 0.0270921927274028 
0 0 0.979530736663656 0.000305781806645827 0.0201634815296983 
1 0 0.991917009303233 0.000635027972772114 0.00744796272399461 
1 1 0.357557594597457 4.64980659086272E-05 0.642395907336635 
1 1 0.202499835647048 0.000560337610703674 0.796939826742248 
1 1 0.131431795403493 0.00025672089105449 0.868311483705453 
0 1 0.0919863284579559 0.0001534993867482 0.907860172155296 
0 1 0.0306380765302404 2.1953162912356E-05 0.969339970306847 
0 1 0.0485911903642824 4.01510906580137E-05 0.951368658545059 
0 1 0.157559428977493 0.000444438352003344 0.841996132670504 
0 1 0.468763466125152 0.00250172920592171 0.528734804668927 
0 0 0.681868939862961 0.0302880676105424 0.287842992526497 
0 0 0.996992629690673 0.000460332945500037 0.00254703736382751 
0 -1 0.207818992435496 0.791986287933899 0.000194719630605298 
0 -1 0.18976358841508 0.80995592592785 0.000280485657070197 
0 -1 0.1535701348625 0.845985579730263 0.000444285407237577 
0 -1 0.157631850573951 0.841506596330206 0.000861553095843028 
0 -1 0.223610904834787 0.774366663874921 0.00202243129029249 
0 -1 0.426780203192163 0.568087519237641 0.00513227757019616 
0 0 0.557968166882464 0.429906300795606 0.01212553232193 
-1 0 0.612010783548038 0.384308382468611 0.00368083398335091 
-1 0 0.786199988468734 0.195478652199839 0.0183213593314272 
-1 0 0.827412751746047 0.166952443475164 0.00563480477878974 
0 0 0.832873311346643 0.16557849926004 0.00154818939331726 
0 0 0.890816531915023 0.0873352788668703 0.0218481892181065 
0 0 0.896290361792623 0.0852307377409392 0.0184789004664379 
0 0 0.91992030646572 0.0680116941162001 0.0120679994180801 
0 0 0.913285278300771 0.0717943950912893 0.01492032660794 
0 0 0.822762860418394 0.138579265807568 0.0386578737740384 
0 0 0.701432936218988 0.21153988668381 0.0870271770972026 
0 0 0.926445806665856 0.0592982589389709 0.0142559343951734 
0 0 0.95250984568009 0.0294873146751232 0.0180028396447864 
0 0 0.943216710133691 0.0157122672018696 0.0410710226644389 
0 0 0.906574545343937 0.0098476114817945 0.083577843174269 
0 0 0.699032019952334 0.00187221203796386 0.299095768009702 
0 0 0.636715184690389 0.00108808165725178 0.362196733652359 
0 0 0.568388803369775 0.00135890737410255 0.430252289256123 
0 1 0.43461166866452 0.000604586066245184 0.564783745269234 
0 0 0.509459248837807 0.00203134756926267 0.48850940359293 
0 0 0.564938469965377 0.00507950607794162 0.429982023956682 
1 1 0.189892399964547 0.000634348603033632 0.80947325143242 
1 1 0.0794566146377519 0.000176993286753787 0.920366392075494 
1 1 0.124437679980663 0.000674093615500634 0.874888226403837 
1 1 0.0702159965898645 0.000589511007724851 0.929194492402411 
1 1 0.0180993762806026 4.00906799244556E-05 0.981860533039473 
1 1 0.0263617092021384 3.97638378447048E-05 0.973598526960017 
1 1 0.00918530200854285 6.07055630260863E-06 0.990808627435155 
1 1 0.0100286619275584 4.20163746841692E-06 0.989967136434973 
1 1 0.0176269482819253 5.64291797431772E-06 0.982367408800101 
1 1 0.025650957927235 3.55922044397926E-06 0.974345482852321 
1 1 0.136554777273682 0.000177895793671203 0.863267326932647 
1 1 0.149564038479824 0.000248970411817177 0.850186991108358 
1 1 0.353526882259762 0.000235096744565116 0.646238020995673 
0 1 0.208969803730779 0.000937423461280283 0.790092772807941 
0 1 0.222251757028557 0.00125966589839156 0.776488577073051 
0 0 0.997974850948353 0.000856465065330111 0.00116868398631723 
0 1 0.391216811803455 0.00277814480594981 0.606005043390595 
0 0 0.624136649944672 0.00906973580508702 0.366793614250241 
0 0 0.840542953393672 0.0313019136705065 0.128155132935822 
0 0 0.873240916879391 0.0617259894637769 0.0650330936568318 
0 0 0.713231291309494 0.0344496519778811 0.252319056712625 
0 1 0.364358736088393 0.00874865455927069 0.626892609352336 
0 0 0.512829976253562 0.0117948500410998 0.475375173705338 
0 0 0.861969288363658 0.0364774440342678 0.101553267602074 
1 0 0.670988970393963 0.018617518263448 0.310393511342589 
0 1 0.350163475734443 0.00574602248443499 0.644090501781122 
0 1 0.4914673116052 0.0116672294531177 0.496865458941682 
0 0 0.800761593916145 0.0354214720748913 0.163816934008964 
1 0 0.811092318266708 0.112886115290576 0.0760215664427155 
1 0 0.791336288036291 0.0627976729997421 0.145866038963966 
0 0 0.692118649553424 0.0912726987544741 0.216608651692103 
0 1 0.344082023005167 0.0657466627666658 0.590171314228167 
1 1 0.449073500678789 0.00488479426742358 0.546041705053787 
1 0 0.505264560422322 0.00623626178503125 0.488499177792647 
1 0 0.759106751220655 0.0442695547188565 0.196623694060489 
1 0 0.780788909094959 0.0641733342812264 0.155037756623814 
1 0 0.694889354679865 0.101316478369367 0.203794166950768 
1 1 0.444301017631441 0.0911121606436813 0.464586821724878 
1 0 0.627835010348736 0.0225481718700008 0.349616817781264 
1 1 0.342506733647843 0.0174617608614763 0.640031505490681 
1 1 0.425644290319645 0.043332831131306 0.531022878549049 
1 0 0.619193503564676 0.0251199481676608 0.355686548267664 
1 0 0.581657575187408 0.0123410877849748 0.406001337027617 
1 1 0.44805502750379 0.0103726716445392 0.54157230085167 
0 1 0.297710148558865 0.010071137037205 0.69221871440393 
0 0 0.513239236830671 0.0553360177222629 0.431424745447066 
0 1 0.326806100990399 0.0674659928267716 0.60572790618283 
0 1 0.160905938707909 0.0851774621558709 0.75391659913622 
0 1 0.254113900711277 0.111655921657494 0.634230177631229 
0 0 0.953010208607126 0.0449424485648523 0.00204734282802176 
0 0 0.954389336566656 0.0447372482868567 0.0008734151464871 
0 0 0.937849187670745 0.0590198104447709 0.00313100188448382 
0 0 0.76130472926935 0.23801921163815 0.000676059092500115 
0 0 0.550507594178971 0.447608082114921 0.001884323706108 
0 0 0.693178942324073 0.280588117768421 0.0262329399075057 
0 0 0.754229215524646 0.193230118891804 0.0525406655835505 
0 0 0.940783298784857 0.0517902176811141 0.00742648353402928 
