labels 0 1 -1
-1 -1 0.205725343437074 0.000496605027424985 0.793778051535501 
-1 -1 0.134057469213103 0.000160162205416482 0.865782368581481 
-1 -1 0.396661172273731 5.96249590361808E-06 0.603332865230366 
-1 0 0.531364861661807 6.23652468194642E-06 0.468628901813511 
-1 0 0.674329999824817 0.000383395755340596 0.325286604419842 
-1 0 0.762906059056097 0.000167414577725412 0.236926526366178 
0 0 0.80699948644701 9.85440672385757E-05 0.192901969485751 
0 0 0.854195556504246 5.11018457119113E-05 0.145753341650042 
-1 0 0.896482653562417 3.05849811794298E-05 0.103486761456403 
0 0 0.738825644021433 0.000238016871345583 0.260936339107221 
-1 -1 0.133992377487293 0.000157038215729118 0.865850584296978 
-1 0 0.991454241489466 3.47819054769878E-05 0.00851097660505753 
-1 0 0.998569174322339 1.06477826074099E-06 0.00142976089939977 
-1 0 0.999140023811672 4.17797245322129E-07 0.000859558391083055 
-1 0 0.997654471852599 2.76234771719907E-06 0.00234276579968353 
-1 0 0.846835673899899 4.56337744656111E-05 0.153118692325636 
0 0 0.998655784409032 9.46101666409565E-07 0.001343269489302 
0 0 0.99966025266029 1.07563913039765E-07 0.000339639775797492 
0 0 0.999934886886544 5.21132388982797E-08 6.50610002174189E-05 
-1 0 0.999752149608721 8.06457969878225E-08 0.000247769745482126 
-1 0 0.998602665414923 1.01803629764027E-06 0.00139631654877898 
0 0 0.999901494537083 5.48411587881735E-08 9.84506217577139E-05 
0 0 0.999975199079341 5.03087507010882E-08 2.47506119084177E-05 
0 0 0.999982483642031 5.01581433672492E-08 1.74661998252837E-05 
0 0 0.999949852799486 5.12603559975003E-08 5.00959401576802E-05 
0 0 0.999684599743603 9.96372668957638E-08 0.00031530061913008 
0 0 0.999921268696599 5.31089016942843E-08 7.86781944997588E-05 
0 0 0.999980555730412 5.02186081701038E-08 1.93940509803111E-05 
0 0 0.999919522985033 5.32605231032584E-08 8.04237544444425E-05 
0 0 0.999982832037463 5.01900659975391E-08 1.71177724709148E-05 
0 0 0.999949324407673 5.13292508696735E-08 5.06242630760308E-05 
0 0 0.999975996938111 5.03488390401195E-08 2.39527130497494E-05 
0 0 0.999993287137216 5.01334499302469E-08 6.66272933420132E-06 
0 0 0.999995656547648 5.01741076018565E-08 4.2932782440397E-06 
0 0 0.999996872307193 5.02581017736962E-08 3.077434705531E-06 
0 0 0.999997443852528 5.04044718210539E-08 2.50574300053713E-06 
0 0 0.999997853903334 5.06294479569756E-08 2.09546721782429E-06 
1 0 0.999998458433388 5.10800852345939E-08 1.49048652667163E-06 
1 0 0.999998896260256 5.19309887324124E-08 1.05180875495369E-06 
1 0 0.999999464968507 5.45312248110548E-08 4.80500267706928E-07 
1 0 0.999998062547362 5.47469989459166E-08 1.88270563902889E-06 
1 0 0.999979309891454 5.36457716895594E-08 2.0636462774385E-05 
1 0 0.99989715023821 2.51776068095188E-07 0.000102597985721728 
1 0 0.999996231275055 1.66932368189878E-06 2.09940126267884E-06 
1 0 0.999985254123763 1.11855485282753E-05 3.5603277088069E-06 
1 0 0.999875982745134 0.000109499505136666 1.45177497292281E-05 
1 0 0.998876216431726 0.00106646800380378 5.73155644704154E-05 
1 0 0.993847037424887 0.0060369067203006 0.000116055854812436 
1 0 0.952902388124872 0.0468357750510269 0.000261836824101658 
1 0 0.828559324474464 0.171157859557851 0.000282815967685699 
1 0 0.607941860574567 0.391804390609603 0.000253748815829977 
1 1 0.49415899319396 0.505365344140104 0.00047566266593569 
1 1 0.146243347988811 0.853562640270073 0.000194011741115314 
0 0 0.994982886973106 0.000712883165143291 0.00430422986175069 
0 0 0.596465104257123 0.0908169123042711 0.312717983438606 
0 0 0.989316915901849 5.38826393882063E-05 0.0106292014587627 
0 0 0.974310359142081 0.000286542981203165 0.0254030978767158 
-1 0 0.979061247180052 0.000195177255204868 0.0207435755647431 
0 0 0.997262867690125 3.73542331223772E-06 0.00273339688656284 
0 0 0.999509082153395 1.70113227324412E-07 0.000490747733377331 
0 0 0.999894143199074 5.55935568351984E-08 0.000105801207369438 
0 0 0.999954943080224 5.10174504799568E-08 4.5005902325799E-05 
0 0 0.999980310132999 5.0204899846223E-08 1.96396621011484E-05 
0 0 0.999992164588992 5.00529047216885E-08 7.78535810335678E-06 
0 0 0.999973407781499 5.03704812186259E-08 2.65418480200549E-05 
0 0 0.999992915150089 5.00648822869563E-08 7.03478502878509E-06 
0 0 0.999967731567554 5.05487488603933E-08 3.22178836969107E-05 
0 0 0.999698204215709 9.5510961918347E-08 0.000301700273329176 
0 0 0.999490173677973 1.7981833208509E-07 0.000509646503695204 
-1 0 0.996403095519802 6.38389030934917E-06 0.00359052058988818 
0 0 0.9899525577305 4.76669156886741E-05 0.00999977535381134 
0 0 0.990964243135553 3.87854770979477E-05 0.00899697138734917 
-1 0 0.954432472756321 5.19013745205308E-06 0.0455623371062271 
-1 0 0.999452112457029 1.99584045193749E-07 0.000547687958925517 
0 0 0.999928621997231 5.25511904352568E-08 7.13254515791892E-05 
-1 0 0.999973214330043 5.0374457440876E-08 2.67352954994309E-05 
-1 0 0.999847310215659 6.16468161529765E-08 0.000152628137524956 
0 0 0.999624834147431 1.20225766056002E-07 0.000375045626803492 
0 0 0.99677357317766 5.16029839702705E-06 0.00322126652394269 
0 0 0.999821882487418 6.58586794855296E-08 0.000178051653902407 
0 0 0.999236050690259 3.4070021708546E-07 0.000763608609523959 
0 0 0.997067903667341 4.28393502522144E-06 0.00292781239763391 
0 0 0.99998832183519 5.01223096031518E-08 1.16280425004842E-05 
